,simulation TH 0,renewal process TH,M/G/1 TH,no congestion TH,simulation delay 0,delay renewal,delay mg1,delay no cong,simulation speed 0,deadlock sim0,max rho renewal,max rho mg1,max rho no cong,avg rho renewal,avg rho mg1,avg rho no cong,block rate renewal,block rate mg1,block rate no cong,block rate sim0
0,2,1.9736842105263157,1.9736842105263157,1.9736842105263157,0,0.0,0.0,0.0,0.52,0,0.1013157894736843,0.1013157894736843,0.0,0.013818937295391595,0.013818937295391595,0.0,0.0,0.0,0.0,0.0
1,3,3.856466944133673,3.8540936727365818,3.928240690887945,4,3.651528199854499,3.7727325545622064,0.0,0.605,0,0.19796583035058304,0.19784410155399432,0.0,0.027001490692304383,0.026984887436507458,0.0,0.00015242685955602455,0.00015205077010100161,0.0,0.0
2,4,5.655334773642817,5.6421654949968705,5.858670853050469,12,10.470823338705548,11.151596192436324,0.0,0.57,0,0.29031297606928574,0.28963928160588337,0.0,0.03959714755525683,0.03950525702678017,0.0,0.0007128898483777375,0.0007062973324297128,0.0,0.0
3,5,7.375255941639398,7.33877343174887,7.758398149700055,2,20.032310039191085,21.945169947888,0.0,0.6325,0,0.3785953330797586,0.37672142452364643,0.0,0.051638400123590125,0.05138280997974246,0.0,0.0020425659265104128,0.0020032813647328177,0.0,0.0
4,6,9.019332041556918,8.944584139877714,9.618740484901686,31,31.955505208553408,35.945144421047175,0.0,0.544,0,0.4629886863516301,0.4591461060274827,0.0,0.06314920909206191,0.06262510662571424,0.0,0.004429757768352526,0.004292823742138101,0.0,0.0
5,7,10.588969341215888,10.460045737194365,11.42823765171953,32,45.8795518661477,52.919670143315855,0.0,0.5666666666666668,0,0.5435584035721706,0.5369517407919137,0.0,0.07413849662462363,0.07323737215833041,0.0,0.007969103180926859,0.007631009744120873,0.0,0.0
6,8,12.083776304102571,11.885517763329519,13.17184377169363,113,61.45867697428102,72.58904519299188,0.0,0.4871428571428571,0,0.6203018883585049,0.6101309308287778,0.0,0.08460589227463494,0.08321862162955938,0.0,0.012447131868596266,0.011803100108608251,0.0,0.0
7,8,13.501648700464122,13.22106266789196,14.830063346891883,111,78.32645613663594,94.63526059828065,0.0,0.5,0,0.6930870330034251,0.6786787316113345,0.0,0.09453339970464324,0.09256818822885639,0.0,0.01725778118372563,0.01630030227858669,0.0,0.0
8,10,14.838402533328706,14.466251806779471,16.3782485090101,177,96.10603147880059,118.70992286584662,0.0,0.46333333333333326,0,0.761708201011554,0.7425954709484238,0.0,0.10389296266425474,0.10128609585277965,0.0,0.021387234289556453,0.020353619813904107,0.0,108.0
9,13,16.08769272198692,15.620363995832168,17.786509818670982,169,114.38265334858409,144.3940829034627,0.0,0.468,0,0.825839328579576,0.8018353381271525,0.0,0.11264010810286494,0.10936610435555721,0.0,0.023490606310369103,0.023018574532038923,0.0,72.0
10,10,17.240808591866003,16.682001160964543,19.020998810094135,403,132.69440382963475,171.22357806328486,0.0,0.359090909090909,0,0.8850328768488012,0.856345571390444,0.0,0.12071379445386955,0.11680099959765788,0.0,0.025569813502463415,0.023458361599723313,0.0,720.0
11,12,18.28661452706944,17.64941346616832,20.04752560006505,404,150.52426176475728,198.6230069520628,0.0,0.35666666666666663,0,0.9387170098310251,0.9060070047933393,0.0,0.1280360265095059,0.123574555323335,0.0,0.029410445859228057,0.02725792659034283,0.0,1152.0
12,9,19.21178937712446,18.5198539466723,20.838161337226854,550,167.3013454979219,225.963174969472,0.0,0.3115384615384615,0,0.9862080859542175,0.9506897896888136,0.0,0.1345135590132716,0.12966905046048294,0.0,0.03208465604397655,0.03016985397488429,0.0,1944.0000000000002
13,8,20.00164432366339,19.289767391807555,21.380107922926705,724,182.4190164226616,252.5170998013316,0.0,0.2614285714285714,0,1.0267526065327244,0.9902111783221037,0.0,0.14004361824212766,0.13505955941302925,0.0,0.033601007297536144,0.0324400256298072,0.0,2556.0
14,11,20.64190883193519,19.954747329730406,21.683745721702667,639,195.27363761386044,277.4574042491035,0.0,0.33399999999999996,0,1.0596096465875258,1.0243339284957842,0.0,0.1445251537538927,0.13971373389453187,0.0,0.03346561031059745,0.033348661996120445,0.0,2592.0
15,13,21.121665848787753,20.50937664525229,21.785015403613393,579,205.3736340548886,299.9369187846509,0.0,0.38625,0,1.0842431882143884,1.0528107561823234,0.0,0.14788503280997536,0.14359781696975754,0.0,0.03274606602468171,0.03376980493898727,0.0,648.0
16,10,21.43778019545222,20.948332888049336,21.7388280084983,883,212.40556345119055,319.04054145241406,0.0,0.2723529411764705,0,1.1004818371677376,1.0753546850808422,0.0,0.15009988788766337,0.14667267941341167,0.0,0.03210724422847578,0.033345368604919934,0.0,3060.0
17,8,21.59920254591502,21.26748498719347,21.60544736946722,971,216.3529243307045,333.90419836503025,0.0,0.26,0,1.1087527564614093,1.0917218612652704,0.0,0.15122801187138663,0.1489050904740215,0.0,0.03149558497226137,0.032640168909520054,0.0,3132.0
18,9,21.62914605003094,21.466010376390507,21.43657849386665,1002,217.64114871445585,344.0320067858904,0.0,0.28421052631578947,0,1.110310581116223,1.1019199707384948,0.0,0.15144047158962842,0.15029605196046358,0.0,0.03136803924038414,0.032008666035509364,0.0,3060.0
19,11,21.562763742623247,21.550525430162807,21.267491419558922,1008,216.89659314041464,349.275927542796,0.0,0.29250000000000004,0,1.1068882038422114,1.1062559396105693,0.0,0.15097369119852366,0.15088745746177018,0.0,0.031643023455079466,0.031691735992010896,0.0,2520.0
20,2,21.439528965777438,21.537640084567663,21.11667848287275,1430,214.9611835389063,350.1918413047151,0.0,0.16809523809523808,0,1.1005612595701486,1.105598694264001,0.0,0.15011073032788003,0.1507978087591274,0.0,0.03210186807575076,0.03174167614857452,0.0,3672.0
21,4,21.294257920441222,21.453854383014004,20.990230138134635,1494,212.53963925497928,347.8678621636851,0.0,0.1822727272727272,0,1.0931036688520344,1.1012916960076442,0.0,0.14909355475648872,0.15021036259066584,0.0,0.032563652173706624,0.03205210253821788,0.0,3204.0
