,simulation TH 0,renewal process TH,M/G/1 TH,no congestion TH,simulation delay 0,delay renewal,delay mg1,delay no cong,simulation speed 0,deadlock sim0,max rho renewal,max rho mg1,max rho no cong,avg rho renewal,avg rho mg1,avg rho no cong,block rate renewal,block rate mg1,block rate no cong,block rate sim0
0,2,1.9108280254777066,1.9108280254777066,1.9108280254777066,0,0.0,0.0,0.0,0.63,0,0.06369426751592375,0.06369426751592375,0.0,0.00849569127013864,0.00849569127013864,0.0,0.0,0.0,0.0,0.0
1,4,3.7717991889834748,3.7709994619652942,3.812954736341465,0,2.152527865467044,2.1944971439633423,0.0,0.58,0,0.12572393642820165,0.1256970805071731,0.0,0.016769355654410723,0.016765773635982504,0.0,5.677286016867118e-06,5.676991971844794e-06,0.0,0.0
2,3,5.585561696762519,5.580965662944328,5.705263006640227,7,6.291236308842249,6.533411595562883,0.0,0.6,0,0.18616122968160775,0.18600458294128622,0.0,0.024830633500272047,0.02480974110959071,0.0,2.7762948719345928e-05,2.767229458171761e-05,0.0,0.0
3,6,7.354274294909175,7.3410246667034,7.586458145049137,14,12.276584709859119,12.97968653401374,0.0,0.52,0,0.24514496722077944,0.2447042146622292,0.0,0.03269801144074639,0.03263922242960662,0.0,8.461611727372841e-05,8.400703013604486e-05,0.0,0.0
4,8,9.079931664552872,9.051673031667887,9.455036131370312,11,19.96258951123122,21.47195003214549,0.0,0.5820000000000001,0,0.3026718330153196,0.30173360543759487,0.0,0.04037107797239771,0.04024593332628713,0.0,0.00019854802539058487,0.0001960724102808888,0.0,0.0
5,9,10.764099279442295,10.713235488378796,11.309246139403578,56,29.22640967315826,31.9633036205478,0.0,0.5066666666666667,0,0.35882031293268796,0.3571359404694687,0.0,0.04786029012045512,0.047635619666652466,0.0,0.00039461397990897193,0.00038720708547141313,0.0,0.0
6,8,12.408087099317367,12.326298737815211,13.147046565541984,54,39.95025459394627,44.37454648854155,0.0,0.5457142857142857,0,0.41363568375102777,0.41087241796031526,0.0,0.055171686297185454,0.05480313172204506,0.0,0.0006987979917756622,0.00068028616193841,0.0,0.0
7,12,14.013151494474764,13.890967514796298,14.966053859949254,81,51.99784632522065,58.67405596007135,0.0,0.5375,0,0.46710146429224364,0.4630229223307075,0.0,0.06230309395141696,0.061759090961535076,0.0,0.0011358203788045546,0.0010968554932186288,0.0,0.0
8,10,15.579806763395725,15.407700757321193,16.76348368047673,108,65.29346086243405,74.78719856846396,0.0,0.5233333333333333,0,0.5193206364104441,0.5135714612026748,0.0,0.06926821117520332,0.06850137808866907,0.0,0.0017288754793338727,0.00165453821320278,0.0,36.0
9,10,17.108708933123026,16.876852050466752,18.53608434821192,147,79.71965580016699,92.64539249136689,0.0,0.519,0,0.5702802610180933,0.5625277609919233,0.0,0.07606532747848072,0.07503129134437417,0.0,0.0024963528569714724,0.0023664355955263683,0.0,72.0
10,12,18.60015227171143,18.298347232154907,20.280063404691766,133,95.17374418212897,112.22258473634578,0.0,0.5054545454545454,0,0.6199900280628213,0.6099519306865652,0.0,0.08269573538175898,0.08135682059762792,0.0,0.003451359249798976,0.0032409353762471163,0.0,0.0
